data,ipca,meta,selic,ibcbr,ibcbrT,LibcbrT,outgap,Loutgap,juroreal,inflacao,jlag
2003-01-01,14.47,4,25.06,96.15,98.92401852467073,4.595824129821179,-2.7740185246707227,-0.029914657786390464,9.251332226784314,10.47,NA
2003-02-01,15.85,4,25.68,98.67,99.35706028909298,4.599932337701463,-0.6870602890929831,-0.008151388832387418,8.485110056107036,11.85,9.251332226784314
2003-03-01,16.57,4,26.32,103.41,99.78990941333993,4.604038468174957,3.620090586660069,0.034663201021927215,8.364073089130986,12.57,8.485110056107036
2003-04-01,16.77,4,26.32,102.19,100.22232554471614,4.6081398777662,1.9676744552838557,0.018693947857918225,8.17847049755931,12.77,8.364073089130986
2003-05-01,17.24,4,26.31,100.3,100.65431972570585,4.61223633016647,-0.35431972570584946,-0.004070635198580419,7.736267485499826,13.239999999999998,8.17847049755931
2003-06-01,16.57,4,26.09,98.58,101.0860396428527,4.616328887257871,-2.5060396428526985,-0.025460485980639547,8.166766749592536,12.57,7.736267485499826
2003-07-01,15.43,4,25.36,103.05,101.51760837716378,4.620418328239501,1.532391622836215,0.014795979096966505,8.602616304253651,11.43,8.166766749592536
2003-08-01,15.07,4,23.5,101.47,101.94897497911549,4.62450366422116,-0.4789749791154918,-0.004740475930168131,7.325975493178083,11.07,8.602616304253651
2003-09-01,15.14,4,21.02,102.87,102.38019491526907,4.628584933811192,0.4898050847309321,0.004881121331746563,5.1068264721208845,11.14,7.325975493178083
2003-10-01,13.98,4,19.54,105.06,102.8112903900345,4.632661846418227,2.248709609965502,0.021869769107588866,4.878048780487787,9.98,5.1068264721208845
2003-11-01,11.02,4,18.31,101.95,103.24231762206372,4.63673445041765,-1.2923176220637203,-0.0122519533971861,6.566384435236894,7.02,4.878048780487787
2003-12-01,9.3,4,16.91,99.74,103.67348899039827,4.640804312918818,-3.933488990398274,-0.03823751280084142,6.962488563586455,5.300000000000001,6.566384435236894
2004-01-01,7.71,5.5,16.32,98.59,104.10492712980036,4.644872150200984,-5.5149271298003555,-0.05390231361403419,7.993686751462259,2.21,6.962488563586455
2004-02-01,6.69,5.5,16.3,99.45,104.53648151607455,4.648936023160573,-5.086481516074542,-0.0492810178605918,9.007404630237126,1.1900000000000004,7.993686751462259
2004-03-01,5.89,5.5,16.19,111.98,104.9676186439747,4.652990249477783,7.012381356025301,0.06533003444296437,9.72707526678629,0.3899999999999997,9.007404630237126
2004-04-01,5.26,5.5,15.96,107.36,105.39745178037164,4.657025724539909,1.96254821962836,0.01916194868346288,10.16530495914878,-0.2400000000000002,9.72707526678629
2004-05-01,5.15,5.5,15.77,106.03,105.82558116306367,4.661037880542189,0.2044188369363269,0.0026841923955176483,10.099857346647646,-0.34999999999999964,10.16530495914878
2004-06-01,6.06,5.5,15.8,107,106.25174331791992,4.665023480370745,0.7482566820800827,0.007805354091161121,9.183481048463138,0.5599999999999996,10.099857346647646
2004-07-01,6.81,5.5,15.77,111.47,106.67568896656206,4.6689794733139465,4.7943110334379355,0.04477602308758577,8.388727647224027,1.3099999999999996,9.183481048463138
2004-08-01,7.18,5.5,15.86,110.65,107.0972207928814,4.672903350698644,3.552779207118604,0.03346871579841437,8.098525844373938,1.6799999999999997,8.388727647224027
2004-09-01,6.7,5.5,16.09,109.21,107.51647441903539,4.676795713297734,1.6935255809646037,0.016476920911903115,8.800374882849106,1.2000000000000002,8.098525844373938
